seconds,roof,tank,inlet,solar,backup
7399,7,54,17,0,0
7409,7,54,17,0,0
7419,7,54,17,0,0
7429,7,54,17,0,0
7439,7,54,17,0,0
7449,7,54,17,0,0
7459,7,54,17,0,0
7469,7,54,17,0,0
7479,7,54,17,0,0
7489,7,54,17,0,0
7499,7,54,17,0,0
7509,7,54,17,0,0
7519,7,54,17,0,0
7529,7,54,17,0,0
7539,7,54,17,0,0
7549,7,54,17,0,0
7559,7,54,17,0,0
7569,7,54,17,0,0
7579,7,54,17,0,0
7589,7,54,17,0,0
7599,7,54,17,0,0
7609,7,54,17,0,0
7619,7,54,17,0,0
7629,7,54,17,0,0
7639,7,54,17,0,0
7649,7,54,17,0,0
7659,7,54,17,0,0
7669,7,54,17,0,0
7679,7,54,17,0,0
7689,7,54,17,0,0
7699,7,54,17,0,0
7709,7,54,17,0,0
7719,7,54,17,0,0
7729,7,54,17,0,0
7739,7,54,17,0,0
7749,7,54,17,0,0
7759,7,54,17,0,0
7769,7,54,17,0,0
7779,7,54,17,0,0
7789,7,54,17,0,0
7799,7,54,17,0,0
7809,7,54,17,0,0
7819,7,54,17,0,0
7829,7,54,17,0,0
7839,7,54,17,0,0
7849,7,54,17,0,0
7859,7,54,17,0,0
7869,7,54,17,0,0
7879,7,54,17,0,0
7889,7,54,17,0,0
7899,7,54,17,0,0
7909,7,54,17,0,0
7919,7,54,17,0,0
7929,7,54,17,0,0
7939,7,54,17,0,0
7949,7,54,17,0,0
7959,7,54,17,0,0
7969,7,54,17,0,0
7979,7,54,17,0,0
7989,7,54,17,0,0
7999,7,54,17,0,0
8009,7,54,17,0,0
8019,7,54,17,0,0
8029,7,54,17,0,0
8039,7,54,17,0,0
8049,7,54,17,0,0
8059,7,54,17,0,0
8069,7,54,17,0,0
8079,7,54,17,0,0
8089,7,54,17,0,0
8099,7,54,17,0,0
8109,7,54,17,0,0
8119,7,54,17,0,0
8129,7,54,17,0,0
8139,7,54,17,0,0
8149,7,54,17,0,0
8159,7,54,17,0,0
8169,7,54,17,0,0
8179,7,54,17,0,0
8189,7,54,17,0,0
8199,7,54,17,0,0
8209,7,54,17,0,0
8219,7,54,17,0,0
8229,7,54,17,0,0
8239,7,54,17,0,0
8249,7,54,17,0,0
8259,7,54,17,0,0
8269,7,54,17,0,0
8279,7,54,17,0,0
8289,7,54,17,0,0
8299,7,54,17,0,0
8309,7,54,17,0,0
8319,7,54,17,0,0
8329,7,54,17,0,0
8339,7,54,17,0,0
8349,7,54,17,0,0
8359,7,54,17,0,0
8369,7,54,17,0,0
8379,7,54,17,0,0
8389,7,54,17,0,0
8399,7,54,17,0,0
8409,7,54,17,0,0
8419,7,54,17,0,0
8429,7,54,17,0,0
8439,7,54,17,0,0
8449,7,54,17,0,0
8459,7,54,17,0,0
8469,7,54,17,0,0
8479,7,54,17,0,0
8489,7,54,17,0,0
8499,7,54,17,0,0
8509,7,54,17,0,0
8519,7,54,17,0,0
8529,7,54,17,0,0
8539,7,54,17,0,0
8549,7,54,17,0,0
8559,7,54,17,0,0
8569,7,54,17,0,0
8579,7,54,17,0,0
8589,7,54,17,0,0
8599,7,54,17,0,0
8609,7,54,17,0,0
8619,7,54,17,0,0
8629,7,54,17,0,0
8639,7,54,17,0,0
8649,7,54,17,0,0
8659,7,54,17,0,0
8669,7,54,17,0,0
8679,7,54,17,0,0
8689,7,54,17,0,0
8699,7,54,17,0,0
8709,7,54,17,0,0
8719,7,54,17,0,0
8729,7,54,17,0,0
8739,7,54,17,0,0
8749,7,54,17,0,0
8759,7,54,17,0,0
8769,7,54,17,0,0
8779,7,54,17,0,0
8789,7,54,17,0,0
8799,7,54,17,0,0
8809,7,54,17,0,0
8819,7,54,17,0,0
8829,7,54,17,0,0
8839,7,54,17,0,0
8849,7,54,17,0,0
8859,7,54,17,0,0
8869,7,54,17,0,0
8879,7,54,17,0,0
8889,7,54,17,0,0
8899,7,54,17,0,0
8909,7,54,17,0,0
8919,7,54,17,0,0
8929,7,54,17,0,0
8939,7,54,17,0,0
8949,7,54,17,0,0
8959,7,54,17,0,0
8969,7,54,17,0,0
8979,7,54,17,0,0
8989,7,54,17,0,0
8999,7,54,17,0,0
9009,7,54,17,0,0
9019,7,54,17,0,0
9029,7,54,17,0,0
9039,7,54,17,0,0
9049,7,54,17,0,0
9059,7,54,17,0,0
9069,7,54,17,0,0
9079,7,54,17,0,0
9089,7,54,17,0,0
9099,7,54,17,0,0
9109,7,54,17,0,0
